idx,device,sample,total_mem (pc),total_mem (orin),total_mem (pi),mem_increment (pc),mem_increment (orin),mem_increment (pi)
102,6,2,28.0,25.1,20.1,1.6,1.9,1.3
103,6,3,27.8,24.4,19.8,1.2,1.4,1.1
104,6,4,27.8,24.7,19.8,1.2,1.5,1.1
105,6,5,28.1,24.9,20.2,1.5,1.6,1.6
106,6,6,28.2,25.0,20.3,1.8,1.8,1.6
107,6,7,27.9,25.0,20.0,1.6,1.8,1.4
108,6,8,28.0,25.3,19.8,1.6,1.7,1.3
109,6,9,28.2,24.8,20.1,1.8,1.8,1.4
110,6,10,28.0,25.1,20.0,1.8,1.6,1.2
111,6,11,28.1,24.6,19.9,1.5,1.6,1.2
112,6,12,28.3,25.6,20.0,1.8,2.0,1.5
113,6,13,28.2,25.3,20.1,1.7,1.9,1.4
114,6,14,28.0,24.9,20.1,1.5,1.8,1.2
115,6,15,28.0,24.9,19.9,1.5,1.6,1.2
116,6,16,28.1,24.6,19.9,1.8,1.6,1.2
117,6,17,28.2,24.9,19.8,1.8,1.7,1.2
118,6,18,28.1,25.3,20.1,1.7,2.0,1.6
119,6,19,28.3,25.2,20.1,1.7,1.9,1.5
120,6,20,28.0,25.1,20.0,1.5,1.6,1.4
121,7,1,28.1,25.3,20.2,1.6,1.9,1.6
122,7,2,28.1,25.3,20.3,1.6,1.8,1.4
123,7,3,28.1,25.3,20.3,1.8,1.8,1.4
124,7,4,27.9,24.7,20.3,1.6,1.7,1.4
125,7,5,28.3,25.0,20.0,1.9,1.8,1.3
126,7,6,27.9,24.9,20.0,1.5,1.7,1.4
127,7,7,27.9,25.0,20.2,1.5,1.7,1.5
128,7,8,28.2,25.6,20.2,1.8,2.0,1.4
129,7,9,28.2,24.9,20.2,1.8,1.8,1.6
130,7,10,28.2,25.1,20.1,1.6,1.9,1.4
131,7,11,28.3,24.6,20.0,1.6,1.6,1.4
132,7,12,28.1,24.7,20.2,1.8,1.7,1.4
133,7,13,28.2,25.5,20.3,1.9,1.9,1.4
134,7,14,28.2,24.8,20.2,1.8,1.8,1.4
135,7,15,28.2,25.3,20.2,1.6,1.9,1.5
136,7,16,28.2,25.3,20.2,1.6,1.8,1.6
137,7,17,27.9,24.8,20.0,1.5,1.8,1.3
138,7,18,28.3,24.9,20.0,1.9,1.8,1.5
139,7,19,28.3,25.2,20.0,1.8,1.8,1.3
140,7,20,28.0,25.3,20.1,1.6,1.9,1.6
141,8,1,28.1,25.5,20.0,1.5,1.9,1.3
142,8,2,27.9,25.2,20.0,1.6,1.8,1.4
143,8,3,28.0,25.0,20.0,1.5,1.9,1.4
144,8,4,28.1,25.3,20.2,1.6,1.7,1.3
145,8,5,28.2,25.5,20.2,1.6,2.0,1.3
146,8,6,28.0,25.2,19.8,1.6,1.7,1.1
147,8,7,27.6,24.7,20.0,1.1,1.4,1.1
148,8,8,28.1,25.1,20.0,1.6,1.9,1.3
149,8,9,27.9,24.9,19.9,1.6,1.6,1.2
