idx,device,sample,cpu_line (pc),cpu_line (orin),cpu_line (pi)
480,27,15,213434808.0,787674899.0,2578145467.0
481,27,16,214952537.0,788726382.0,2563145214.0
482,27,17,211735429.0,794872520.0,2577044771.0
483,27,18,214989099.0,803575832.0,2570136730.0
484,27,19,214768192.0,793767607.0,2566393016.0
485,27,20,214050767.0,793298924.0,2575593827.0
486,28,1,212559663.0,793038025.0,2551249329.0
487,28,2,218025385.0,781906102.0,2577827203.0
488,28,3,212225132.0,786394978.0,2526257325.0
489,28,4,213099506.0,804311379.0,2529146547.0
490,28,5,214841562.0,778882083.0,2559116328.0
491,28,6,214691573.0,796192951.0,2538940717.0
492,28,7,214942311.0,783551618.0,2539218223.0
493,28,8,213686074.0,809538933.0,2571798688.0
494,28,9,213829799.0,778596630.0,2532932135.0
495,28,10,213249191.0,830451008.0,2571270400.0
496,28,11,214136241.0,801389881.0,2524613248.0
497,28,12,217260671.0,789459687.0,2553736339.0
498,28,13,213780019.0,809184889.0,2536033401.0
499,28,14,211928988.0,787868770.0,2535639087.0
500,28,15,215020492.0,800388753.0,2540565171.0
501,28,16,217809034.0,781518526.0,2542181666.0
502,28,17,213729346.0,770143698.0,2535586746.0
503,28,18,216323155.0,785879456.0,2538645686.0
504,28,19,222374630.0,789708215.0,2557766289.0
505,28,20,212877269.0,787104238.0,2525717207.0
506,29,1,216186556.0,691427372.0,2612509528.0
507,29,2,218350526.0,778213375.0,2603602263.0
508,29,3,216926512.0,788217671.0,2610397933.0
509,29,4,216578384.0,802756498.0,2611747723.0
510,29,5,217933521.0,793084512.0,2640298142.0
511,30,1,212424365.0,789394969.0,2506382446.0
512,30,2,210080928.0,764880860.0,2513134368.0
513,30,3,212644758.0,788422262.0,2512451638.0
514,30,4,211235519.0,775477428.0,2540553777.0
515,30,5,212184107.0,810473934.0,2513719531.0
516,30,6,212320807.0,815687300.0,2541448617.0
517,30,7,216654132.0,769168052.0,2533103391.0
518,30,8,212925951.0,803410953.0,2533296394.0
519,30,9,213028067.0,808637650.0,2509879119.0
520,30,10,212231620.0,787180135.0,2521918503.0
521,30,11,213587677.0,817315646.0,2533210612.0
522,30,12,218595534.0,780051963.0,2537161901.0
523,30,13,215887083.0,787292218.0,2540736319.0
524,30,14,214523043.0,790596251.0,2534561584.0
525,30,15,213479733.0,804329033.0,2510732482.0
526,30,16,212437247.0,783929919.0,2518491215.0
527,30,17,212488692.0,792635868.0,2545528995.0
528,30,18,211779617.0,809847069.0,2546121402.0
529,30,19,215495460.0,777757764.0,2510734273.0
530,30,20,215654837.0,783160531.0,2530780752.0
531,31,1,134.0,2848.0,4479.0
532,31,2,153.0,2656.0,1823.0
533,31,3,211816444.0,791946452.0,2509141054.0
534,31,4,138.0,2368.0,2031.0
535,31,5,161.0,2528.0,1875.0
536,31,6,147.0,2688.0,1875.0
537,31,7,156.0,2208.0,1771.0
538,31,8,150.0,2176.0,1927.0
539,31,9,215135908.0,789439489.0,2606202651.0
540,31,10,211557826.0,766180285.0,2539353944.0
541,31,11,141.0,2880.0,2187.0
542,31,12,163.0,2816.0,1927.0
543,31,13,180.0,2848.0,2396.0
544,31,14,232001616.0,781901046.0,2558063198.0
545,31,15,168.0,3424.0,1875.0
546,31,16,153.0,2400.0,2084.0
547,31,17,155.0,2560.0,2031.0
548,31,18,210768014.0,779116679.0,2512713908.0
549,31,19,127.0,3264.0,4844.0
550,31,20,213429910.0,786878466.0,2507858687.0
