idx,device,sample,cpu_line (pc),cpu_line (orin),cpu_line (pi)
327,19,7,2412931572.0,9175708305.0,30000000000.0
328,19,8,2401869114.0,9063168742.0,30000000000.0
329,19,9,2402769238.0,9149358060.0,30000000000.0
330,19,10,2391244274.0,8966668114.0,30000000000.0
331,19,11,2411611812.0,9009406369.0,30000000000.0
332,19,12,2399072888.0,9199739650.0,30000000000.0
333,19,13,2392933121.0,9138121975.0,30000000000.0
334,19,14,2410018319.0,9062227033.0,30000000000.0
335,19,15,2391772829.0,9077975775.0,30000000000.0
336,19,16,2392908909.0,9066857325.0,30000000000.0
337,19,17,2405040787.0,9129596598.0,30000000000.0
338,19,18,2365993278.0,9385738487.0,30000000000.0
339,19,19,2419476617.0,9153267558.0,30000000000.0
340,19,20,2382226289.0,9052241719.0,30000000000.0
341,20,1,2360890573.0,8949003746.0,30000000000.0
342,20,2,2372695052.0,8999768115.0,30000000000.0
343,20,3,2365516579.0,8980019362.0,30000000000.0
344,20,4,2379950647.0,8943567002.0,30000000000.0
345,20,5,2365216159.0,9082104221.0,30000000000.0
346,20,6,2375360361.0,8941158155.0,30000000000.0
347,20,7,2367312539.0,8963425896.0,30000000000.0
348,20,8,2366995860.0,8978830758.0,30000000000.0
349,20,9,2381349241.0,8908192448.0,30000000000.0
350,20,10,2365086611.0,8970893877.0,30000000000.0
351,20,11,2371924430.0,8985862508.0,30000000000.0
352,20,12,2362907641.0,9026883210.0,30000000000.0
353,20,13,2369945432.0,9046804732.0,30000000000.0
354,20,14,2352837735.0,9147833492.0,30000000000.0
355,20,15,2358537560.0,8956365439.0,30000000000.0
356,20,16,2366665216.0,9218569357.0,30000000000.0
357,20,17,2379262660.0,8996153652.0,30000000000.0
358,20,18,2373172459.0,8977911390.0,30000000000.0
359,20,19,2380792089.0,8992972077.0,30000000000.0
360,20,20,2362080704.0,8982251977.0,30000000000.0
361,21,1,2367257973.0,8957146034.0,30000000000.0
362,21,2,2363064249.0,9062634262.0,30000000000.0
363,21,3,2354739829.0,9029591895.0,30000000000.0
364,21,4,2354671750.0,8876485831.0,30000000000.0
365,21,5,2360880733.0,8918279518.0,30000000000.0
366,21,6,2358641772.0,8984907567.0,30000000000.0
367,21,7,2362499579.0,9030418471.0,30000000000.0
368,21,8,2360997410.0,8974033955.0,30000000000.0
369,21,9,2323054071.0,9026155404.0,30000000000.0
370,21,10,2364003066.0,8946255546.0,30000000000.0
371,21,11,2366072328.0,8810054050.0,30000000000.0
372,21,12,2364975952.0,8820135960.0,30000000000.0
373,21,13,2356309380.0,8871503886.0,30000000000.0
374,21,14,2354846259.0,8957622943.0,30000000000.0
375,21,15,2358526704.0,8988719534.0,30000000000.0
376,21,16,2364998714.0,9000375618.0,30000000000.0
377,21,17,2365755767.0,8936916930.0,30000000000.0
378,21,18,2357522309.0,8931665467.0,30000000000.0
379,21,19,2370278066.0,8925192932.0,30000000000.0
380,21,20,2368451908.0,8946817982.0,30000000000.0
381,22,1,2361813472.0,8947804121.0,30000000000.0
382,22,2,2355529882.0,9034508587.0,30000000000.0
383,22,3,2369809204.0,8990335589.0,30000000000.0
384,22,4,2388354758.0,8948087476.0,30000000000.0
385,22,5,2362793891.0,8993366317.0,30000000000.0
386,22,6,2344405015.0,9035898351.0,30000000000.0
387,22,7,2353473029.0,9000882012.0,30000000000.0
388,22,8,2358974340.0,8985368503.0,30000000000.0
389,22,9,2392897071.0,8976208895.0,30000000000.0
390,22,10,2373831553.0,8918259533.0,30000000000.0
391,22,11,2368819365.0,8922557277.0,30000000000.0
392,22,12,2360286269.0,9022056607.0,30000000000.0
393,22,13,2384240847.0,8937625987.0,30000000000.0
394,22,14,2360100237.0,9054332407.0,30000000000.0
395,22,15,2366795757.0,8891751208.0,30000000000.0
396,22,16,2349003369.0,8907197421.0,30000000000.0
397,22,17,3855702069.0,8917460893.0,30000000000.0
398,22,18,2316136101.0,8977663322.0,30000000000.0
399,22,19,2359158626.0,8965942763.0,30000000000.0
400,22,20,2369383436.0,8985270795.0,30000000000.0
401,23,1,2380817829.0,8965507489.0,30000000000.0
402,23,2,2337103353.0,8987715148.0,30000000000.0
403,23,3,2368292047.0,9049557121.0,30000000000.0
404,23,4,2350676702.0,9073488160.0,30000000000.0
405,23,5,2357258911.0,9010693709.0,30000000000.0
406,23,6,2366604260.0,9228956963.0,30000000000.0
407,23,7,2326449911.0,9043041505.0,30000000000.0
408,23,8,2357946109.0,8992693830.0,30000000000.0
409,23,9,2347156928.0,8909794441.0,30000000000.0
410,23,10,2371322112.0,9053905720.0,30000000000.0
411,23,11,2360826069.0,9203235528.0,30000000000.0
412,23,12,2363135038.0,9021772972.0,30000000000.0
413,23,13,2366172656.0,8788937384.0,30000000000.0
414,23,14,2364379160.0,9046986371.0,30000000000.0
415,23,15,2359206952.0,9012170072.0,30000000000.0
416,23,16,2347810961.0,8899896521.0,30000000000.0
417,23,17,2368658234.0,9002909168.0,30000000000.0
418,23,18,2353796209.0,9001411302.0,30000000000.0
419,23,19,2357852056.0,8887589036.0,30000000000.0
420,23,20,2355590301.0,9064988981.0,30000000000.0
421,24,1,2353133651.0,9026426553.0,30000000000.0
422,24,2,2364236507.0,8998874368.0,30000000000.0
