,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms)
104,104,1,50,0,0,relu,lbfgs,constant,0.0001,False,0.9505318867335616,0.95,0.9496705377323654,20207.310302734375,23.597412109375
105,105,1,50,0,0,relu,lbfgs,adaptive,0.0001,True,0.9626112429122398,0.9625,0.9622462540780796,20059.94091796875,23.561767578125
106,106,1,50,0,0,relu,lbfgs,adaptive,0.0001,False,0.9586693006032878,0.9575,0.9570919767661573,20161.446533203125,23.5224609375
107,107,1,50,0,0,relu,lbfgs,invscaling,0.0001,True,0.9513409941195264,0.95125,0.9509605041060065,19920.69970703125,23.49853515625
108,108,1,50,0,0,relu,lbfgs,invscaling,0.0001,False,0.9650306330156435,0.96375,0.9635345815936549,20536.271484375,14.642578125
109,109,1,50,0,0,tanh,sgd,constant,0.01,True,0.9037002134908185,0.89875,0.8970610198468524,34935.22314453125,38.429443359375
110,110,1,50,0,0,tanh,sgd,constant,0.01,False,0.9041132125167269,0.9,0.8991904835254738,34883.8984375,24.851318359375
111,111,1,50,0,0,tanh,sgd,adaptive,0.01,True,0.897678695538959,0.89125,0.8897791670526664,34893.941650390625,37.05810546875
112,112,1,50,0,0,tanh,sgd,adaptive,0.01,False,0.8988530310748091,0.895,0.8940050082938591,34912.40234375,37.297119140625
113,113,1,50,0,0,tanh,sgd,invscaling,0.01,True,0.06149403984378754,0.07625,0.0600479793281327,34802.2392578125,36.6982421875
114,114,1,50,0,0,tanh,sgd,invscaling,0.01,False,0.06847324433321612,0.08625,0.07069249300988074,34675.883544921875,21.100341796875
115,115,1,50,0,0,tanh,sgd,constant,0.001,True,0.9090220709952282,0.9025,0.9009615548989106,35532.229736328125,37.430419921875
116,116,1,50,0,0,tanh,sgd,constant,0.001,False,0.9052539220544348,0.9,0.898887218888394,34891.021484375,37.3935546875
117,117,1,50,0,0,tanh,sgd,adaptive,0.001,True,0.9114007372251559,0.90625,0.9049169498464396,34975.984619140625,37.347412109375
118,118,1,50,0,0,tanh,sgd,adaptive,0.001,False,0.9049018697002844,0.90125,0.8994114354141984,34869.525146484375,37.139892578125
119,119,1,50,0,0,tanh,sgd,invscaling,0.001,True,0.1240367343220561,0.175,0.13258633252603783,34767.327392578125,36.46240234375
120,120,1,50,0,0,tanh,sgd,invscaling,0.001,False,0.14422104365321473,0.18,0.14239805246246504,34710.053466796875,36.5078125
121,121,1,50,0,0,tanh,sgd,constant,0.0001,True,0.8963973661492104,0.89125,0.8893607570561273,34866.20751953125,37.342041015625
122,122,1,50,0,0,tanh,sgd,constant,0.0001,False,0.90321799458616,0.89875,0.897532550109005,34938.248779296875,37.2861328125
123,123,1,50,0,0,tanh,sgd,adaptive,0.0001,True,0.8989819449908591,0.8925,0.8917611800118088,34951.35302734375,37.2353515625
124,124,1,50,0,0,tanh,sgd,adaptive,0.0001,False,0.9046417289395846,0.90125,0.8997053039181102,34882.53076171875,37.44287109375
125,125,1,50,0,0,tanh,sgd,invscaling,0.0001,True,0.13357495528467933,0.15625,0.12149912354114392,35247.143798828125,37.1240234375
126,126,1,50,0,0,tanh,sgd,invscaling,0.0001,False,0.0756312697855892,0.07375,0.06713503567425903,34709.46044921875,36.491943359375
127,127,1,50,0,0,tanh,adam,constant,0.01,True,0.9630252557033687,0.9625,0.9622859196069807,38207.239990234375,37.49560546875
128,128,1,50,0,0,tanh,adam,constant,0.01,False,0.9624683766417435,0.96125,0.9611397931210027,38207.192138671875,37.599365234375
129,129,1,50,0,0,tanh,adam,adaptive,0.01,True,0.9599181411335485,0.95875,0.9586269325270901,38139.34130859375,37.48583984375
130,130,1,50,0,0,tanh,adam,adaptive,0.01,False,0.964518514951091,0.96375,0.9636120155955556,38098.0703125,37.430419921875
131,131,1,50,0,0,tanh,adam,invscaling,0.01,True,0.9671646532622141,0.96625,0.9661366720489604,38128.0,37.386474609375
132,132,1,50,0,0,tanh,adam,invscaling,0.01,False,0.9664865098530053,0.965,0.9649399926017681,38082.001708984375,38.0341796875
133,133,1,50,0,0,tanh,adam,constant,0.001,True,0.9626311705483722,0.96125,0.9611555885130245,38166.79638671875,37.425048828125
134,134,1,50,0,0,tanh,adam,constant,0.001,False,0.9614047164750668,0.96,0.9598840469459957,38040.7353515625,37.411865234375
135,135,1,50,0,0,tanh,adam,adaptive,0.001,True,0.966173318391838,0.965,0.9650024975707362,38776.837890625,37.502197265625
136,136,1,50,0,0,tanh,adam,adaptive,0.001,False,0.9618301176870196,0.96,0.9598194499279409,38150.9921875,37.453125
