idx,train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
317,1613216678.0,19738394.0,21.8,0.0,163.1
318,1408600422.0,4681031.0,26.3,0.0,171.0
319,1438455957.0,4690763.0,23.8,0.0,176.1
320,1479962411.0,4648560.0,39.8,0.0,181.7
321,1693906734.0,4719666.0,28.1,0.0,172.9
322,1743915836.0,4722966.0,19.8,0.0,162.9
323,1416228216.0,4663226.0,23.8,0.0,171.8
324,1727808802.0,4709244.0,19.9,0.0,171.5
325,5012308636.0,4752703.0,14.7,0.0,159.1
326,4918145975.0,3894829.0,16.6,0.0,163.9
327,4952347037.0,3829969.0,8.4,0.0,158.8
328,4912252496.0,3802772.0,10.6,0.0,157.8
329,4957301511.0,3891508.0,10.1,3.1,158.4
330,4888821114.0,3765688.0,15.1,0.0,163.0
331,4942626751.0,3819385.0,8.5,0.0,162.2
332,4917350676.0,3836123.0,12.3,0.0,164.9
333,4934654202.0,3785150.0,16.6,12.0,178.2
334,5021392258.0,3932030.0,8.7,0.0,159.9
335,4941896338.0,3893504.0,10.6,0.0,158.8
336,4996729887.0,3958977.0,12.5,0.0,155.6
337,4939990909.0,3885507.0,12.5,0.0,155.3
338,4913837132.0,3810532.0,10.6,0.0,159.9
339,4937628255.0,3904869.0,12.5,0.0,158.1
340,4927193324.0,3817639.0,12.6,0.0,159.9
341,4934380584.0,3876775.0,8.6,0.0,155.3
342,4949538280.0,3874824.0,10.6,0.0,156.7
343,5925281565.0,3907497.0,8.5,0.0,158.4
344,5902926325.0,3813291.0,14.4,0.7,165.3
345,5856960068.0,3888746.0,12.5,0.0,159.0
346,5897671584.0,3800300.0,10.7,0.0,156.8
347,5950781569.0,3979820.0,12.5,0.0,159.6
348,5885766609.0,3840557.0,16.6,0.0,164.4
349,5865037719.0,3860717.0,30.5,0.0,171.6
350,5916236960.0,3930637.0,10.5,0.0,153.2
351,5864741934.0,3878831.0,10.7,0.0,164.7
352,5931291661.0,4013870.0,10.0,0.0,158.2
353,5860991414.0,3858543.0,14.4,0.7,160.6
354,5911344262.0,3831248.0,10.6,0.0,162.5
355,5947816328.0,3902736.0,6.7,0.0,157.2
356,5857777189.0,3812689.0,32.3,0.0,175.6
357,5899197671.0,3925296.0,12.5,0.0,158.7
358,5899841990.0,3863473.0,12.3,0.8,155.6
359,5923403954.0,3894673.0,10.6,0.7,163.7
360,5895145859.0,3931058.0,32.7,0.0,172.6
361,3356317798.0,3913330.0,20.6,0.0,173.1
362,3380356130.0,3961138.0,19.3,0.0,165.2
363,3372698055.0,3849138.0,23.3,0.0,167.8
364,3417280235.0,3907251.0,19.3,0.0,167.0
365,3327206551.0,3877330.0,21.1,0.0,165.8
366,3405263320.0,3842675.0,40.8,0.0,183.0
367,3305966827.0,3869683.0,47.0,0.0,193.3
368,3465777971.0,3794739.0,17.3,0.0,161.1
369,3389637444.0,3891251.0,32.8,0.0,181.7
370,3457679382.0,3974803.0,19.3,0.0,165.2
371,3330904634.0,3873074.0,40.5,0.0,184.4
372,3425946132.0,3926896.0,25.8,0.0,172.3
373,3383425529.0,3963853.0,34.9,0.0,182.8
374,3495718010.0,3927530.0,21.1,0.0,168.8
375,3370713757.0,3859559.0,51.0,0.0,197.1
376,3547764358.0,3914500.0,17.4,0.0,168.8
377,3337619206.0,3848449.0,29.4,0.0,174.6
378,3352809948.0,3842271.0,19.9,0.0,172.8
379,5452494697.0,4035903.0,10.7,0.0,151.7
380,5486390872.0,4102813.0,8.2,0.8,150.8
381,5550213508.0,4018554.0,12.4,0.7,155.6
382,5545184774.0,3927831.0,14.4,16.0,172.1
383,5529934489.0,4065878.0,10.4,0.0,158.5
384,5557291857.0,4068500.0,16.6,0.7,161.9
385,5547978165.0,4121971.0,10.4,0.7,153.8
386,5424425912.0,4009937.0,32.4,0.0,176.1
387,5438453856.0,3994512.0,14.5,2.0,160.0
388,5526011970.0,4948434.0,10.4,0.0,155.6
389,5481850575.0,3958349.0,12.7,0.0,154.2
390,5519895866.0,4046124.0,12.5,0.0,156.9
391,5527940693.0,3953867.0,14.7,0.0,159.8
392,5542340767.0,4029194.0,8.1,0.0,151.1
393,5486282173.0,3995785.0,30.5,0.0,171.8
394,5496827995.0,4035176.0,16.5,0.0,158.2
395,5531913227.0,4088775.0,14.5,0.0,160.9
396,5488917400.0,4079303.0,8.4,0.7,153.7
397,6478521039.0,4049382.0,10.5,6.0,164.2
398,6496778128.0,4150437.0,22.2,0.8,166.4
399,6585161100.0,4036005.0,12.2,0.8,161.8
400,6439098449.0,4023908.0,12.5,0.0,157.3
401,6468423323.0,4056612.0,10.6,0.7,154.5
402,6420774243.0,4162051.0,8.5,0.0,157.6
403,6447615579.0,4141250.0,32.5,0.0,177.1
404,6585127262.0,4067874.0,14.4,0.7,163.0
405,6444797447.0,3904290.0,10.2,2.8,157.4
406,6460615369.0,4109601.0,8.5,0.0,154.7
407,6441013517.0,4014177.0,12.7,0.0,154.0
408,6401728219.0,4062176.0,8.5,0.0,157.1
409,6545703810.0,4539040.0,4.5,0.8,151.2
410,6450622866.0,4211008.0,8.5,0.8,163.1
411,6494379401.0,4041472.0,14.4,0.0,157.4
