idx,train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
1295,6e+10,92978017.0,17.3,0.0,139.0
1296,5e+10,84707663.0,17.2,0.0,138.5
1297,4e+10,31880941.0,0.1,0.7,122.5
1298,4e+10,34231108.0,0.1,0.6,122.1
1299,4e+10,32627507.0,0.1,0.5,122.3
1300,4e+10,32021618.0,0.1,0.5,122.2
1301,4e+10,34070066.0,0.1,0.6,122.5
1302,4e+10,34093139.0,0.1,0.6,122.4
1303,4e+10,34033243.0,0.1,0.5,122.4
1304,4e+10,33772929.0,0.1,0.6,122.2
1305,4e+10,33943608.0,0.1,0.6,122.3
1306,4e+10,33887774.0,0.1,0.5,122.4
1307,4e+10,31754690.0,0.1,0.6,122.1
1308,4e+10,36423411.0,0.1,0.6,122.3
1309,4e+10,33196885.0,0.1,0.6,122.3
1310,4e+10,33400688.0,0.1,0.6,122.3
1311,4e+10,33679908.0,0.1,0.6,122.5
1312,4e+10,30488851.0,0.1,0.5,122.1
1313,4e+10,32082192.0,0.1,0.6,122.1
1314,4e+10,34155431.0,0.1,0.5,122.4
1315,5e+10,34051160.0,0.1,0.6,122.5
1316,5e+10,30138849.0,0.1,0.6,122.4
1317,5e+10,33859388.0,0.1,0.6,122.1
1318,4e+10,33599335.0,0.1,0.7,122.5
1319,4e+10,31528438.0,0.1,0.6,122.5
1320,4e+10,33662043.0,0.1,0.6,122.3
1321,4e+10,33760637.0,0.1,0.5,122.2
1322,4e+10,33726002.0,0.1,0.6,122.3
1323,5e+10,33879440.0,0.1,0.6,122.4
1324,4e+10,37565969.0,0.1,0.6,122.1
1325,3e+10,33907044.0,0.1,0.6,122.4
1326,4e+10,33579907.0,0.1,0.5,122.1
1327,5e+10,31922347.0,0.1,0.6,122.3
1328,4e+10,33389281.0,0.1,0.6,122.1
1329,4e+10,31736460.0,0.1,0.6,122.3
1330,4e+10,31776513.0,0.1,0.6,122.2
1331,4e+10,33642564.0,0.1,0.6,122.1
1332,5e+10,33696210.0,0.1,0.6,122.3
1333,3e+10,33206208.0,15.5,0.0,137.3
1334,3e+10,35689345.0,15.6,0.0,137.1
1335,3e+10,33371730.0,15.5,0.0,137.2
1336,3e+10,37195707.0,15.5,0.0,137.2
1337,3e+10,33227406.0,16.2,0.0,137.6
1338,3e+10,32961884.0,16.2,0.0,137.7
1339,3e+10,29833483.0,15.6,0.0,137.0
1340,3e+10,33197770.0,15.5,0.0,137.0
1341,3e+10,33270063.0,15.6,0.0,136.9
1342,3e+10,33023811.0,15.6,0.0,137.2
1343,3e+10,29887389.0,16.3,0.0,138.0
1344,3e+10,33245323.0,16.4,0.0,138.0
1345,3e+10,33278656.0,16.3,0.0,137.9
1346,3e+10,32820789.0,16.3,0.0,137.8
1347,3e+10,33143655.0,16.3,0.0,138.0
1348,3e+10,32902821.0,16.3,0.0,137.8
1349,3e+10,34401110.0,16.2,0.0,137.7
1350,3e+10,30493694.0,16.4,0.0,138.2
1351,5e+10,38288786.0,0.1,0.6,122.2
1352,5e+10,38305973.0,0.1,0.6,122.3
1353,5e+10,35878096.0,0.1,0.6,122.1
1354,5e+10,38159982.0,0.1,0.6,122.3
1355,5e+10,33881159.0,0.1,0.6,122.2
1356,5e+10,35734554.0,0.1,0.6,122.2
1357,5e+10,38171076.0,0.1,0.6,122.1
1358,5e+10,38617433.0,0.1,0.6,122.2
1359,5e+10,35866169.0,0.1,0.5,122.1
1360,5e+10,38374932.0,0.1,0.6,122.3
1361,5e+10,38087638.0,0.1,0.6,122.3
1362,5e+10,38049148.0,0.1,0.6,122.2
1363,5e+10,38078055.0,0.1,0.5,122.1
1364,5e+10,38116493.0,0.1,0.6,122.3
1365,5e+10,35768304.0,0.1,0.5,122.2
1366,5e+10,38068419.0,0.1,0.5,122.2
1367,5e+10,38345764.0,0.1,0.6,122.2
1368,5e+10,38142118.0,0.1,0.6,122.5
