idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
1313,3,50,100,50,identity,sgd,invscaling,0.0001,True,0.3420386474,0.37125,0.3231454628,1827.744141,1.129638672,1221322128,943671,0.8,0.2,228.4
1314,3,50,100,50,identity,sgd,invscaling,0.0001,False,0.2530410062,0.2725,0.2428264492,1820.749756,1.311767578,1212526589,929080,0.9,0.0,228.2
1315,3,50,100,50,identity,adam,constant,0.01,True,0.9468842838,0.945,0.9446429885,1980.726563,1.158935547,1102447162,925537,0.8,0.2,228.2
1316,3,50,100,50,identity,adam,constant,0.01,False,0.9466141881,0.945,0.9450032583,2078.926025,1.151123047,1332637526,917150,0.8,0.2,228.3
1317,3,50,100,50,identity,adam,adaptive,0.01,True,0.9538374026,0.9525,0.9524191641,1865.456543,1.140625,1191075474,989283,1.1,0.0,228.5
1318,3,50,100,50,identity,adam,adaptive,0.01,False,0.9599732652,0.95875,0.9586806781,2078.135742,1.155029297,1337496086,908069,0.6,0.2,228.3
1319,3,50,100,50,identity,adam,invscaling,0.01,True,0.9525953476,0.95,0.9497330563,1886.303711,1.144287109,1047413241,909690,0.6,0.0,227.8
1320,3,50,100,50,identity,adam,invscaling,0.01,False,0.9531023153,0.95125,0.9509858497,1930.472168,1.130615234,1115282445,951293,0.8,0.0,228.6
1321,3,50,100,50,identity,adam,constant,0.001,True,0.9559657606,0.95375,0.9535622711,1686.324951,1.152099609,1294005213,910118,0.6,0.4,228.3
1322,3,50,100,50,identity,adam,constant,0.001,False,0.9524918058,0.95,0.9498660355,2095.342041,1.148925781,1012264658,884723,0.8,0.0,228.1
1323,3,50,100,50,identity,adam,adaptive,0.001,True,0.956670967,0.955,0.9549958452,2070.308594,1.140869141,1253399302,932270,0.8,0.6,228.1
1324,3,50,100,50,identity,adam,adaptive,0.001,False,0.9474318805,0.94625,0.9459520896,1872.843262,1.152099609,1351540284,950789,0.8,0.0,228.6
1325,3,50,100,50,identity,adam,invscaling,0.001,True,0.9475394011,0.94375,0.9437934351,1761.967041,1.132568359,1363610484,926320,0.9,0.0,228.1
1326,3,50,100,50,identity,adam,invscaling,0.001,False,0.9541621651,0.9525,0.9522723921,1532.967773,1.292236328,1334676808,893127,0.8,0.0,228.3
1327,3,50,100,50,identity,adam,constant,0.0001,True,0.9542046259,0.9525,0.9521260294,1975.0,1.168212891,983702988,947560,0.6,0.4,228.1
1328,3,50,100,50,identity,adam,constant,0.0001,False,0.9550127332,0.95375,0.9535669627,2034.351563,1.158203125,1103096573,905085,0.6,0.2,228.1
1329,3,50,100,50,identity,adam,adaptive,0.0001,True,0.9441549563,0.94125,0.941136869,1950.641357,3.795410156,1169195697,1087820,0.6,0.0,228.4
1330,3,50,100,50,identity,adam,adaptive,0.0001,False,0.9528969324,0.95,0.9498420135,1913.021973,1.153564453,1339754642,902311,0.9,0.0,228.4
1331,3,50,100,50,identity,adam,invscaling,0.0001,True,0.9560690247,0.95375,0.9535230514,1622.757568,1.134033203,1066060953,937396,0.9,0.0,228.7
1332,3,50,100,50,identity,adam,invscaling,0.0001,False,0.951243061,0.95,0.949871912,1596.284424,1.153076172,1325758453,933664,0.6,0.0,228.1
1333,3,50,100,50,identity,lbfgs,constant,0.01,True,0.9594171691,0.95875,0.9586981141,1940.279541,2.980712891,704193740,1001196,19.7,0.0,247.1
1334,3,50,100,50,identity,lbfgs,constant,0.01,False,0.9610899676,0.96,0.9599856422,1776.625977,3.039306641,722142104,1012256,19.5,0.0,247.1
1335,3,50,100,50,identity,lbfgs,adaptive,0.01,True,0.9594656828,0.95875,0.9587642791,1787.597168,3.155029297,705889407,962102,20.1,0.2,247.2
1336,3,50,100,50,identity,lbfgs,adaptive,0.01,False,0.9607061329,0.96,0.9599325484,1732.503662,3.040283203,737477886,990365,20.1,0.0,247.3
1337,3,50,100,50,identity,lbfgs,invscaling,0.01,True,0.9559695952,0.955,0.9547785105,1754.980957,3.122314453,705238121,1011326,19.9,0.0,247.6
1338,3,50,100,50,identity,lbfgs,invscaling,0.01,False,0.9551103506,0.95375,0.9535784945,1997.925049,3.202392578,709547887,991265,21.0,0.0,248.2
1339,3,50,100,50,identity,lbfgs,constant,0.001,True,0.9614790031,0.96,0.9599817784,1733.364746,3.042480469,681947249,984580,19.7,0.2,247.6
1340,3,50,100,50,identity,lbfgs,constant,0.001,False,0.9605417102,0.95875,0.9588783078,1508.279541,3.186279297,708207007,1009933,20.4,0.0,247.4
1341,3,50,100,50,identity,lbfgs,adaptive,0.001,True,0.9620254974,0.96125,0.9610338355,1901.074219,3.097167969,696604875,1035248,20.4,0.0,247.0
1342,3,50,100,50,identity,lbfgs,adaptive,0.001,False,0.9585191633,0.9575,0.9573622091,1635.520264,3.048095703,691933431,1013014,19.5,0.0,247.3
1343,3,50,100,50,identity,lbfgs,invscaling,0.001,True,0.9582555231,0.9575,0.9574364419,1950.649414,3.182373047,717186098,971453,20.2,0.0,246.7
1344,3,50,100,50,identity,lbfgs,invscaling,0.001,False,0.9609656063,0.96,0.959846713,1997.256348,3.124267578,700598819,1011110,19.7,0.0,246.9
1345,3,50,100,50,identity,lbfgs,constant,0.0001,True,0.9660814982,0.965,0.9648332798,1738.039307,3.14453125,697606909,993658,19.5,0.0,246.6
1346,3,50,100,50,identity,lbfgs,constant,0.0001,False,0.9645813317,0.96375,0.9638135665,1871.072754,3.190673828,725379498,984710,19.3,0.0,247.0
1347,3,50,100,50,identity,lbfgs,adaptive,0.0001,True,0.948151656,0.9475,0.9472761366,1857.796631,3.048339844,721846527,1011621,19.5,0.0,247.2
1348,3,50,100,50,identity,lbfgs,adaptive,0.0001,False,0.960268645,0.95875,0.9587465366,1929.449463,3.123779297,710891188,964161,19.7,0.0,247.0
1349,3,50,100,50,identity,lbfgs,invscaling,0.0001,True,0.9581582865,0.95625,0.9561683927,1806.531982,3.217529297,731363204,1025815,19.3,0.0,246.9
1350,3,50,100,50,identity,lbfgs,invscaling,0.0001,False,0.962900061,0.9625,0.9623031499,2007.786621,2.999023438,719657320,973818,19.7,0.0,247.5
1351,3,50,100,50,relu,sgd,constant,0.01,True,0.9273990712,0.92625,0.9255785679,2547.75708,1.426269531,1616454484,994486,0.8,0.0,228.1
1352,3,50,100,50,relu,sgd,constant,0.01,False,0.9365832168,0.9325,0.9322170258,2515.666504,1.390869141,1528056693,1001868,0.8,0.2,228.2
1353,3,50,100,50,relu,sgd,adaptive,0.01,True,0.9365241169,0.93375,0.9329480684,2510.180664,1.385009766,1513299879,1000125,1.1,0.0,228.2
1354,3,50,100,50,relu,sgd,adaptive,0.01,False,0.9323405059,0.92875,0.9287422069,2497.861816,1.420898438,1509198229,974218,0.8,0.2,228.4
1355,3,50,100,50,relu,sgd,invscaling,0.01,True,0.05700791701,0.065,0.05052418589,2530.319336,1.383300781,1519842683,970144,0.8,0.0,228.1
1356,3,50,100,50,relu,sgd,invscaling,0.01,False,0.07803704393,0.11625,0.06887069132,2542.513184,1.381591797,1523363156,965851,0.6,0.4,227.8
1357,3,50,100,50,relu,sgd,constant,0.001,True,0.9311679912,0.92875,0.9288586923,2560.848145,1.420898438,1496271342,972853,0.9,0.0,228.4
1358,3,50,100,50,relu,sgd,constant,0.001,False,0.9288441955,0.925,0.9244158977,2509.171875,1.438476563,1493676454,977517,0.8,0.2,228.1
1359,3,50,100,50,relu,sgd,adaptive,0.001,True,0.9280268743,0.92625,0.9256753667,2498.842773,1.413818359,1506019400,997034,0.8,0.0,227.5
1360,3,50,100,50,relu,sgd,adaptive,0.001,False,0.9365453699,0.935,0.9347823467,2498.200684,1.426269531,1519323634,1012408,0.9,0.0,227.7
1361,3,50,100,50,relu,sgd,invscaling,0.001,True,0.07280931645,0.075,0.05850218121,2529.498291,1.385253906,1522818290,995101,0.8,0.2,228.6
