idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
2044,3,100,100,50,relu,lbfgs,adaptive,0.001,FALSE,0.9678945514,0.9675,0.9674551526,53046.72876,48.71606445,6.00E+10,50307194,25,0,176.3
2042,3,100,100,50,relu,lbfgs,constant,0.001,FALSE,0.9643029605,0.96375,0.9636527817,54284.71753,48.98876953,6.00E+10,50387682,25,0,176.3
2051,3,100,100,50,relu,lbfgs,invscaling,0.0001,TRUE,0.961167859,0.96,0.9600465853,53787.8999,49.95043945,6.00E+10,50772428,24.9,0,176.3
1986,3,100,100,50,identity,lbfgs,invscaling,0.01,FALSE,0.959547312,0.95875,0.9585567064,45929.84277,43.69091797,5.00E+10,45025496,25,0,176.3
1982,3,100,100,50,identity,lbfgs,constant,0.01,FALSE,0.9674013308,0.96625,0.9661328396,46744.96509,43.71606445,5.00E+10,44841641,24.9,0,176.2
2041,3,100,100,50,relu,lbfgs,constant,0.001,TRUE,0.9656098443,0.965,0.965001902,53025.15381,48.69677734,5.00E+10,50636587,25,0,176.2
1942,3,100,50,100,tanh,lbfgs,adaptive,0.0001,FALSE,0.9606523811,0.96,0.9597783918,47047.21826,118.3857422,5.00E+10,119559761,24.8,0,176.2
2047,3,100,100,50,relu,lbfgs,constant,0.0001,TRUE,0.9658165278,0.965,0.9648921956,54364.50635,49.64697266,5.00E+10,50029745,24.1,0.1,176.1
1885,3,100,50,100,relu,lbfgs,constant,0.0001,TRUE,0.9629979322,0.9625,0.9625528764,51355.01758,42.92431641,5.00E+10,48715718,24.3,0,176.1
1997,3,100,100,50,identity,lbfgs,invscaling,0.0001,TRUE,0.9577104995,0.95625,0.9560276775,46413.12524,43.76928711,5.00E+10,118861754,24.5,0,176
1983,3,100,100,50,identity,lbfgs,adaptive,0.01,TRUE,0.9537590692,0.9525,0.9524831766,45435.39185,43.69213867,5.00E+10,45542785,24.8,0,176
1930,3,100,50,100,tanh,lbfgs,adaptive,0.01,FALSE,0.9632997186,0.9625,0.9626441997,63978.8623,117.8527832,8.00E+10,119214507,24.3,0,175.9
2037,3,100,100,50,relu,lbfgs,adaptive,0.01,TRUE,0.9605624912,0.96,0.9599183931,54561.52197,49.18164063,5.00E+10,49980143,24.8,0,175.9
1943,3,100,50,100,tanh,lbfgs,invscaling,0.0001,TRUE,0.9604545866,0.96,0.9598879256,63358.25513,118.2729492,9.00E+10,120037331,24.5,0,175.9
1990,3,100,100,50,identity,lbfgs,adaptive,0.001,FALSE,0.9583354082,0.9575,0.957558759,46235.98633,44.49951172,5.00E+10,45058048,24.9,0,175.9
1875,3,100,50,100,relu,lbfgs,adaptive,0.01,TRUE,0.9715058891,0.97125,0.9711594842,50616.57813,47.66333008,5.00E+10,48625854,23.9,0,175.8
1880,3,100,50,100,relu,lbfgs,constant,0.001,FALSE,0.9619548231,0.96125,0.9611646456,52820.29224,47.50878906,5.00E+10,48719187,23.9,0,175.8
1822,3,100,50,100,identity,lbfgs,adaptive,0.01,FALSE,0.9590311005,0.9575,0.9575165976,42080.68628,42.52978516,4.00E+10,44161160,23.9,0.1,175.8
1824,3,100,50,100,identity,lbfgs,invscaling,0.01,FALSE,0.9572021115,0.95625,0.9561172499,42515.69727,42.30102539,4.00E+10,42437768,24,0,175.8
1828,3,100,50,100,identity,lbfgs,adaptive,0.001,FALSE,0.9559108737,0.955,0.9549535108,42704.24878,43.03393555,4.00E+10,43904038,23.9,0,175.8
1876,3,100,50,100,relu,lbfgs,adaptive,0.01,FALSE,0.9667180263,0.96625,0.9662724615,51797.99829,47.44116211,5.00E+10,48974862,23.9,0,175.7
1888,3,100,50,100,relu,lbfgs,adaptive,0.0001,FALSE,0.9669447889,0.96625,0.9662517907,53077.60645,47.67944336,5.00E+10,48699356,23.9,0,175.7
1998,3,100,100,50,identity,lbfgs,invscaling,0.0001,FALSE,0.965844262,0.965,0.9649809094,45916.36548,43.66601563,5.00E+10,45340365,24.3,0,175.7
1829,3,100,50,100,identity,lbfgs,invscaling,0.001,TRUE,0.9655734812,0.965,0.964871688,43366.14087,42.54345703,4.00E+10,43857532,24.4,0,175.7
1887,3,100,50,100,relu,lbfgs,adaptive,0.0001,TRUE,0.9630236103,0.9625,0.9623321807,52264.28711,47.4074707,5.00E+10,49232883,24.1,0,175.7
1820,3,100,50,100,identity,lbfgs,constant,0.01,FALSE,0.9606348061,0.96,0.9598965845,43074.24536,42.76147461,4.00E+10,33701849,23.9,0,175.7
