idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
2964,3,50,150,50,identity,lbfgs,invscaling,0.001,FALSE,0.9596098403,0.95875,0.958558767,3407.064941,4.086181641,3497756337,4320253,38.2,0,186.8
2965,3,50,150,50,identity,lbfgs,constant,0.0001,TRUE,0.9560303968,0.955,0.9546804559,3494.143066,4.050048828,3419737276,4277181,33.7,0,177.6
2966,3,50,150,50,identity,lbfgs,constant,0.0001,FALSE,0.9617182614,0.96125,0.9612405744,3368.227783,4.067871094,3575291891,4364958,38.9,0,180.6
2967,3,50,150,50,identity,lbfgs,adaptive,0.0001,TRUE,0.9582644401,0.9575,0.9574066494,3557.570557,4.079345703,3550280475,4449533,51.3,0,193.4
2968,3,50,150,50,identity,lbfgs,adaptive,0.0001,FALSE,0.9605742861,0.96,0.9598817167,3329.262695,4.067626953,3707163985,4428541,48,0,191.6
2969,3,50,150,50,identity,lbfgs,invscaling,0.0001,TRUE,0.9518373011,0.95125,0.9511084938,3462.465088,4.086425781,3538487533,4418525,29.1,0,177.8
2970,3,50,150,50,identity,lbfgs,invscaling,0.0001,FALSE,0.9624288947,0.96125,0.9612450883,3389.647461,4.078613281,3560936691,4382525,29.7,0,175.1
2971,3,50,150,50,relu,sgd,constant,0.01,TRUE,0.9207741193,0.91875,0.9182124519,6271.61499,4.260742188,6675868884,4567037,6.4,0,149.4
2972,3,50,150,50,relu,sgd,constant,0.01,FALSE,0.9240835116,0.9225,0.9217983275,6271.700195,4.255126953,6807464623,4636382,6.6,0,154.4
2973,3,50,150,50,relu,sgd,adaptive,0.01,TRUE,0.9418570664,0.94,0.9398951851,6239.655029,4.1953125,6672509342,4585391,6.7,0,158.3
2974,3,50,150,50,relu,sgd,adaptive,0.01,FALSE,0.9398880369,0.9375,0.9373314861,6240.069336,4.197265625,6655776331,4572274,12.7,0,166.1
2975,3,50,150,50,relu,sgd,invscaling,0.01,TRUE,0.04138733312,0.105,0.05128366949,6298.489258,4.194580078,6707831124,4563605,16.3,0,163.5
2976,3,50,150,50,relu,sgd,invscaling,0.01,FALSE,0.09885499503,0.1325,0.08224131086,6319.311035,4.203125,6720672116,4587895,10.4,0,160.1
2977,3,50,150,50,relu,sgd,constant,0.001,TRUE,0.9200529847,0.9175,0.9167324004,6297.126953,4.220458984,6692970659,4518842,4.3,0,153.2
2978,3,50,150,50,relu,sgd,constant,0.001,FALSE,0.9307235668,0.92875,0.927829861,6361.078369,4.238037109,6787065358,4572795,14.5,0,157.8
2979,3,50,150,50,relu,sgd,adaptive,0.001,TRUE,0.9334494883,0.93,0.9296927926,6363.082031,4.278564453,6681707226,4584286,6.5,0,156.1
2980,3,50,150,50,relu,sgd,adaptive,0.001,FALSE,0.9406075486,0.93875,0.9387543146,6258.561279,4.416503906,6647622389,4634943,6.5,0,157.7
2981,3,50,150,50,relu,sgd,invscaling,0.001,TRUE,0.02876803835,0.06375,0.0295604147,6305.891602,4.203613281,6662122755,4553217,20.5,0,165.4
2982,3,50,150,50,relu,sgd,invscaling,0.001,FALSE,0.03317707159,0.0475,0.0234947255,6302.410889,4.197998047,6641203018,4576227,12.5,0,156.5
2983,3,50,150,50,relu,sgd,constant,0.0001,TRUE,0.9390799022,0.9375,0.9373587248,6261.807373,4.229736328,6662033329,4560164,22.7,0,166.5
